user_id,entropy_fraction
1,0.591177
2,0.727802
3,0.727357
4,0.414606
5,0.483930
6,0.580645
7,0.834483
8,0.573676
9,0.647318
10,0.546630
11,0.527018
12,0.718353
13,0.680371
14,0.624277
15,0.646268
16,0.578035
17,0.669752
18,0.603643
19,0.675476
20,0.614498
21,0.648745
22,0.875969
23,0.514910
24,0.636628
25,0.654230
26,0.685376
27,0.645542
28,0.720658
29,0.502420
30,0.481359
31,0.771872
32,0.488876
33,0.637951
34,0.781094
35,0.725146
36,0.631924
37,0.613869
38,0.583111
39,0.680982
40,0.603881
41,0.666004
42,0.843575
43,0.532563
44,0.590227
45,0.717404
47,0.579697
48,0.702311
49,0.670726
50,0.621779
51,0.915966
52,0.627085
53,0.679931
54,0.662772
55,0.665269
57,0.711376
58,0.743415
59,0.725362
60,0.768350
61,0.637371
62,0.694104
63,0.719478
64,0.748008
65,0.498993
68,0.670957
70,0.680091
71,0.581287
72,0.611880
73,0.597983
74,0.627075
75,0.728344
76,0.880161
77,0.727273
80,0.640732
81,0.607301
82,0.593074
83,0.674844
84,0.652887
87,0.803849
88,0.658610
89,0.614525
90,0.670000
91,0.508409
92,0.662734
93,0.736045
94,0.715128
95,0.701360
96,0.717300
97,0.661374
98,0.689693
99,0.662963
100,0.532980
101,0.640420
102,0.786784
103,0.636113
104,0.707650
105,0.703400
106,0.770462
107,0.772449
108,0.695477
109,0.506851
110,0.670379
111,0.763427
112,0.711618
113,0.692774
114,0.914141
115,0.746348
116,0.698280
117,0.669974
118,0.749040
119,0.738018
120,0.701853
121,0.622189
122,0.654290
123,0.544654
124,0.680704
125,0.604561
126,0.647123
127,0.669645
128,0.729122
129,0.873684
130,0.647480
131,0.517787
132,0.571744
133,0.580747
135,0.698435
136,0.673342
137,0.741411
138,0.646800
139,0.549137
140,0.778216
142,0.694824
143,0.595869
144,0.625595
145,0.689460
146,0.730633
156,0.647693
157,0.731824
158,0.680421
159,0.718724
160,0.659992
161,0.585121
162,0.588604
163,0.935593
164,0.551340
165,0.678968
166,0.675294
167,0.698039
168,0.844358
169,0.634470
170,0.668478
171,0.691409
172,0.722199
174,0.749120
175,0.695230
176,0.671986
177,0.817518
178,0.644137
179,0.605607
180,0.641491
181,0.848789
182,0.549240
183,0.745415
184,0.700546
185,0.566310
186,0.758852
187,0.683010
188,0.656163
189,0.645570
190,0.664524
191,0.686862
193,0.657734
194,0.725790
195,0.517227
196,0.618989
197,0.534714
198,0.593783
199,0.665834
200,0.879668
201,0.625948
203,0.688714
205,0.656713
206,0.717310
207,0.695896
209,0.712464
210,0.757738
211,0.714286
212,0.674632
213,0.706865
214,0.594781
215,0.721074
217,0.554262
218,0.708308
219,0.778210
220,0.657762
221,0.590629
222,0.644682
223,0.638046
224,0.670516
225,0.800932
226,0.737636
227,0.689562
228,0.658508
229,0.570462
230,0.720557
231,0.735426
232,0.578147
233,0.632965
234,0.773599
235,0.716312
236,0.786856
237,0.708158
238,0.722493
239,0.651978
240,0.750497
241,0.586159
242,0.576216
243,0.579898
244,0.657572
245,0.786070
246,0.701334
247,0.778552
248,0.684666
249,0.842105
250,0.666667
251,0.709602
252,0.792553
253,0.592070
254,0.633861
255,0.641151
256,0.704616
257,0.801519
258,0.545338
259,0.660507
261,0.633264
262,0.638287
263,0.741663
264,0.766452
265,0.674436
266,0.737916
267,0.704888
268,0.633631
269,0.804348
270,0.655381
271,0.680824
272,0.527046
273,0.623312
274,0.649150
275,0.577449
276,0.626866
277,0.696855
278,0.609856
279,0.774381
280,0.720965
281,0.620562
282,0.792731
283,0.625115
284,0.650584
285,0.649743
286,0.622143
287,0.677791
288,0.732749
289,0.643480
290,0.697531
291,0.906200
292,0.594419
293,0.606272
294,0.688889
295,0.811715
